2025-03-30 18:08:16 [INFO]: Найден товар: Кабачок Президент 1 (арт. 11113), схожесть: 0.0%
2025-03-30 18:08:16 [INFO]: Найден товар: Огурец Сюрприз F1 (арт. 13326), схожесть: 0.0%
2025-03-30 18:08:16 [INFO]: Найден товар: Роза Красная (арт. 98765), схожесть: 0.0%
2025-03-30 18:08:16 [INFO]: Найден товар: Томат Балконное Чудо (арт. 41047), схожесть: 0.0%
2025-03-30 18:08:16 [INFO]: Пользователь подключился, userId: null
2025-03-30 18:08:21 [INFO]: Пользователь user2@example.com вошёл в систему
2025-03-30 18:08:21 [INFO]: Пользователь подключился, userId: 2
2025-03-30 18:08:22 [INFO]: Пользователь подключился, userId: 2
2025-03-30 18:08:24 [INFO]: Пользователь подключился, userId: 2
2025-03-30 18:08:26 [INFO]: Найден товар: Арбуз АУ Продюсер ПВП (арт. 11112), схожесть: 0.0%
2025-03-30 18:08:26 [INFO]: Найден товар: Баклажан Северный Блюз (арт. 11111), схожесть: 0.0%
2025-03-30 18:08:26 [INFO]: Найден товар: Кабачок Президент 1 (арт. 11113), схожесть: 0.0%
2025-03-30 18:08:26 [INFO]: Найден товар: Огурец Сюрприз F1 (арт. 13326), схожесть: 0.0%
2025-03-30 18:08:26 [INFO]: Найден товар: Роза Красная (арт. 98765), схожесть: 0.0%
2025-03-30 18:08:26 [INFO]: Найден товар: Томат Балконное Чудо (арт. 41047), схожесть: 0.0%
2025-03-30 18:08:26 [INFO]: Пользователь подключился, userId: 2
2025-03-30 18:08:27 [INFO]: Пользователь подключился, userId: 2
2025-03-30 18:08:28 [INFO]: Пользователь подключился, userId: 2
2025-03-30 18:08:29 [INFO]: Пользователь подключился, userId: 2
